company,tier,category,contact_role,contact_email,outreach_angle,priority,status,next_action,target_send_day,notes
Robinhood,Tier 3,Fintech,Partnerships,,Founder wealth systems,P3,Research contact,Find partnerships lead + prep Template B,Next Tue,
Public,Tier 3,Fintech,Partnerships,,Long-term investing education,P3,Research contact,Find partnerships lead + prep Template B,Next Tue,
Mercury,Tier 3,Fintech,Partnerships,,Startup finance operating system,P3,Research contact,Find partnerships lead + prep Template B,Next Tue,
Pilot,Tier 3,Fintech,Partnerships,,Finance backend for founders,P3,Research contact,Find partnerships lead + prep Template B,Next Tue,
Ramp,Tier 3,Fintech,Partnerships,,Spend control + efficiency,P3,Research contact,Find partnerships lead + prep Template B,Next Tue,
Brex,Tier 3,Fintech,Partnerships,,Startup card + treasury stack,P3,Research contact,Find partnerships lead + prep Template B,Next Tue,
Arc,Tier 3,Fintech,Partnerships,,Cash yield + runway management,P3,Research contact,Find partnerships lead + prep Template B,Next Tue,
Coda,Tier 3,Productivity SaaS,Partnerships,,All-in-one company docs and ops,P3,Research contact,Find partnerships lead + prep Template B,Next Wed,
Linear,Tier 3,Productivity SaaS,Partnerships,,Execution speed for product teams,P3,Research contact,Find partnerships lead + prep Template B,Next Wed,
ClickUp,Tier 3,Productivity SaaS,Partnerships,,Team execution + planning,P3,Research contact,Find partnerships lead + prep Template B,Next Wed,
Zapier,Tier 3,Productivity SaaS,Partnerships,,Automation for founders,P3,Research contact,Find partnerships lead + prep Template B,Next Wed,
Make,Tier 3,Productivity SaaS,Partnerships,,No-code automation stack,P3,Research contact,Find partnerships lead + prep Template B,Next Wed,
Loom,Tier 3,Productivity SaaS,Partnerships,,Async communication speed,P3,Research contact,Find partnerships lead + prep Template B,Next Wed,
Descript,Tier 3,Productivity SaaS,Partnerships,,Content production velocity,P3,Research contact,Find partnerships lead + prep Template B,Next Wed,
Riverside,Tier 3,Productivity SaaS,Partnerships,,Podcast/video production for creators,P3,Research contact,Find partnerships lead + prep Template B,Next Wed,
Kit,Tier 3,Creator Tools,Partnerships,,Monetization stack for newsletters,P3,Research contact,Find partnerships lead + prep Template B,Next Thu,
Beehiiv,Tier 3,Creator Tools,Partnerships,,Growth + monetization for newsletter operators,P3,Research contact,Find partnerships lead + prep Template B,Next Thu,
Lemlist,Tier 3,Sales Tools,Partnerships,,Outbound for founder-led sales,P3,Research contact,Find partnerships lead + prep Template B,Next Thu,
Apollo.io,Tier 3,Sales Tools,Partnerships,,Prospecting stack for operators,P3,Research contact,Find partnerships lead + prep Template B,Next Thu,
Hunter,Tier 3,Sales Tools,Partnerships,,Contact intelligence for outbound,P3,Research contact,Find partnerships lead + prep Template B,Next Thu,
Pipedrive,Tier 3,Sales Tools,Partnerships,,SMB founder CRM ops,P3,Research contact,Find partnerships lead + prep Template B,Next Thu,
HubSpot,Tier 3,Sales Tools,Partnerships,,Growth automation for scaling teams,P3,Research contact,Find partnerships lead + prep Template B,Next Thu,
Typeform,Tier 3,Growth Tools,Partnerships,,Lead capture optimization,P3,Research contact,Find partnerships lead + prep Template B,Next Fri,
Tally,Tier 3,Growth Tools,Partnerships,,Lightweight lead-gen forms,P3,Research contact,Find partnerships lead + prep Template B,Next Fri,
Hotjar,Tier 3,Growth Tools,Partnerships,,CRO insights for founders,P3,Research contact,Find partnerships lead + prep Template B,Next Fri,
VWO,Tier 3,Growth Tools,Partnerships,,A/B testing for conversion growth,P3,Research contact,Find partnerships lead + prep Template B,Next Fri,
PostHog,Tier 3,Growth Tools,Partnerships,,Product analytics for growth,P3,Research contact,Find partnerships lead + prep Template B,Next Fri,
Amplitude,Tier 3,Growth Tools,Partnerships,,Behavioral analytics for retention,P3,Research contact,Find partnerships lead + prep Template B,Next Fri,
